Common Name,X,Y,Z
LP 44-113,-3.38,16.69,10.11
HD 79210 A,-14.14,3.81,13.5
HD 79210 B,-14.14,3.81,13.5
Delta Pavonis,14.53,-8.47,-10.68
Ross 986 A,-18.76,0.34,6.8
Ross 986 B,-18.76,0.34,6.8
2MASSI J0937347+293142,-12.82,-4.13,14.74
HD 191849,16.89,-1.53,-11
Wolf 1481,13.76,-5.44,13.87
BD+19 5116 A,-2.36,15.65,-12.88
BD+19 5116 B,-2.36,15.65,-12.88
Wolf 562,15.75,-1.63,13.29
Wolf 562 b,15.75,-1.63,13.29
Wolf 562 c,15.75,-1.63,13.29
Wolf 562 d,15.75,-1.63,13.29
Wolf 562 e,15.75,-1.63,13.29
LP 368-128,-14.89,-7.04,12.69
Luyten 471-42,9.53,-16.37,8.6
HD 155876 A,5.4,16,12.25
HD 155876 B,5.4,16,12.25
LP 658-2,-17.49,-10.19,-5.2
GJ 3959,6.5,13.78,14.32
